popularity,acousticness,danceability,loudness,tempo,key,,,popround,acouround,danceround,loudround,temporound,key
45,0.00121075,0.25275,-3.42325,123.785,10,,,45,0.001,0.253,-3.423,123.785,10
48,3.01E-05,0.555,-6.063,143.005,8,,,48,0,0.555,-6.063,143.005,8
45.75,0.326025,0.75475,-9.2815,126.93325,2,,,45.75,0.326,0.755,-9.282,126.933,2
62,0.0175985,0.4905,-5.9505,132.267,7,,,62,0.018,0.491,-5.951,132.267,7
63.75,0.31425,0.6755,-6.03175,128.456,9,,,63.75,0.314,0.676,-6.032,128.456,9
0.333333333,0.953,0.489,-14.82533333,81.77433333,7,,,0.333,0.953,0.489,-14.825,81.774,7
1,0.915,0.261,-10.377,111.529,3,,,1,0.915,0.261,-10.377,111.529,3
46.06617647,0.170033529,0.827669118,-9.829654412,97.87680147,11,,,46.066,0.17,0.828,-9.83,97.877,11
52,0.023,0.658,-5.408,133.442,3,,,52,0.023,0.658,-5.408,133.442,3
46,0.767,0.0804,-21.007,82.14,11,,,46,0.767,0.08,-21.007,82.14,11
59,0.0889,0.9,-5.516,140.023,0,,,59,0.089,0.9,-5.516,140.023,0
61.55882353,0.115947059,0.745882353,-5.340411765,137.2497059,1,,,61.559,0.116,0.746,-5.34,137.25,1
59.22222222,0.244255556,0.780666667,-5.916666667,129.4382222,8,,,59.222,0.244,0.781,-5.917,129.438,8
55,0.143,0.79,-5.098333333,121.6696667,11,,,55,0.143,0.79,-5.098,121.67,11
63.39583333,0.193702406,0.671229167,-6.87225,128.9268854,1,,,63.396,0.194,0.671,-6.872,128.927,1
55.25,0.253225,0.73025,-6.6955,135.7855,0,,,55.25,0.253,0.73,-6.696,135.786,0
45.33333333,0.04309,0.717,-5.705666667,124.9966667,4,,,45.333,0.043,0.717,-5.706,124.997,4
59,0.583,0.399,-5.801,133.175,8,,,59,0.583,0.399,-5.801,133.175,8
0,0.0209,0.5105,-4.0415,150.0085,3,,,0,0.021,0.511,-4.042,150.009,3
52,0.29,0.542,-11.702,123.971,10,,,52,0.29,0.542,-11.702,123.971,10
56.6,0.009398,0.7048,-3.6818,131.1848,1,,,56.6,0.009,0.705,-3.682,131.185,1
24,0.426,0.589,-13.483,130.272,0,,,24,0.426,0.589,-13.483,130.272,0
12.57142857,0.968571429,0.608,-10.92114286,122.0758571,10,,,12.571,0.969,0.608,-10.921,122.076,10
0,0.995,0.357,-14.339,111.982,7,,,0,0.995,0.357,-14.339,111.982,7
4.818181818,0.899681818,0.541772727,-10.32381818,131.5843182,6,,,4.818,0.9,0.542,-10.324,131.584,6
0,0.962,0.366,-14.905,145.377,0,,,0,0.962,0.366,-14.905,145.377,0
0,0.924,0.508,-14.508,111.486,4,,,0,0.924,0.508,-14.508,111.486,4
0,0.881,0.5442,-7.3552,107.5496,2,,,0,0.881,0.544,-7.355,107.55,2
31,0.182,0.809,-10.875,112.688,8,,,31,0.182,0.809,-10.875,112.688,8
0,0.975833333,0.619666667,-10.13125,115.7141667,2,,,0,0.976,0.62,-10.131,115.714,2
0,0.957952381,0.68547619,-9.76452381,114.622619,7,,,0,0.958,0.685,-9.765,114.623,7
0,0.991571429,0.624285714,-11.38385714,142.5682857,8,,,0,0.992,0.624,-11.384,142.568,8
0,0.993,0.564,-13.142,105.9,11,,,0,0.993,0.564,-13.142,105.9,11
51.4,0.1031,0.7446,-4.8144,115.0444,7,,,51.4,0.103,0.745,-4.814,115.044,7
50.71428571,0.357457143,0.769333333,-5.377380952,135.0795238,11,,,50.714,0.357,0.769,-5.377,135.08,11
9,0.983,0.118,-22.774,169.421,4,,,9,0.983,0.118,-22.774,169.421,4
64,0.494,0.734,-8.192,190.011,1,,,64,0.494,0.734,-8.192,190.011,1
46.5,0.06175,0.781,-7.999,92.1815,9,,,46.5,0.062,0.781,-7.999,92.182,9
14,0.0609,0.411,-4.625,110.205,0,,,14,0.061,0.411,-4.625,110.205,0
2,0.914,0.622,-11.48866667,111.8956667,3,,,2,0.914,0.622,-11.489,111.896,3
29,0.119,0.581,-10.862,117.035,9,,,29,0.119,0.581,-10.862,117.035,9
56.125,0.3355525,0.65225,-11.055,122.08775,2,,,56.125,0.336,0.652,-11.055,122.088,2
33,0.412,0.798,-8.625,83.971,4,,,33,0.412,0.798,-8.625,83.971,4
1,0.00115,0.592,-8.472,137.016,6,,,1,0.001,0.592,-8.472,137.016,6
64,0.464,0.968,-8.084,119.953,7,,,64,0.464,0.968,-8.084,119.953,7
87,0.166633333,0.742666667,-5.921333333,121.2963333,8,,,87,0.167,0.743,-5.921,121.296,8
43.25396825,0.345721746,0.575166667,-8.492928571,121.5762063,2,,,43.254,0.346,0.575,-8.493,121.576,2
42.44444444,0.231155556,0.687333333,-7.475555556,122.3861111,9,,,42.444,0.231,0.687,-7.476,122.386,9
62,0.0789,0.656,-4.223,95.974,5,,,62,0.079,0.656,-4.223,95.974,5
42,0.160175,0.75725,-6.952,137.1425,4,,,42,0.16,0.757,-6.952,137.143,4
52,0.0383,0.651,-5.288,146.07,5,,,52,0.038,0.651,-5.288,146.07,5
51.40116279,0.027053639,0.476389535,-4.818866279,128.0388023,9,,,51.401,0.027,0.476,-4.819,128.039,9
62,0.000319,0.73,-8.085,119.997,1,,,62,0,0.73,-8.085,119.997,1
42.22222222,0.006557275,0.390138889,-5.111388889,127.02575,4,,,42.222,0.007,0.39,-5.111,127.026,4
67,0.941,0.525,-14.938,122.214,11,,,67,0.941,0.525,-14.938,122.214,11
